train_cohort,test_cohort,feature_set,cell_type,status,reason,model_path,test_graph_path,train_node_dim,test_node_dim,train_global_dim,test_global_dim,train_edge_dim,test_edge_dim
ADRC,ADNI,imaging_demographics,external,ok,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_adrc_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_demographics/graph_data_list_adni_all.pt,3.0,3.0,6.0,6.0,1.0,1.0
ADRC,ADRC,imaging_demographics,diagonal_oof,ok,,,,,,,,,
ADRC,HABS,imaging_demographics,external,ok,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_adrc_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_demographics/graph_data_list_habs_all.pt,3.0,3.0,6.0,6.0,1.0,1.0
ADRC,AD_DECODE,imaging_demographics,external,ok,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_adrc_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_demographics/graph_data_list_ad_decode_all.pt,3.0,3.0,6.0,6.0,1.0,1.0
HABS,ADNI,imaging_demographics,external,ok,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_habs_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_demographics/graph_data_list_adni_all.pt,3.0,3.0,6.0,6.0,1.0,1.0
HABS,ADRC,imaging_demographics,external,ok,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_habs_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_demographics/graph_data_list_adrc_all.pt,3.0,3.0,6.0,6.0,1.0,1.0
HABS,HABS,imaging_demographics,diagonal_oof,ok,,,,,,,,,
HABS,AD_DECODE,imaging_demographics,external,ok,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_habs_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_demographics/graph_data_list_ad_decode_all.pt,3.0,3.0,6.0,6.0,1.0,1.0
AD_DECODE,ADNI,imaging_demographics,external,ok,,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_addecode_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_demographics/graph_data_list_adni_all.pt,3.0,3.0,6.0,6.0,1.0,1.0
AD_DECODE,ADRC,imaging_demographics,external,ok,,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_addecode_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_demographics/graph_data_list_adrc_all.pt,3.0,3.0,6.0,6.0,1.0,1.0
AD_DECODE,HABS,imaging_demographics,external,ok,,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_demographics/brainage_addecode_imaging_demographics_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_demographics/graph_data_list_habs_all.pt,3.0,3.0,6.0,6.0,1.0,1.0
AD_DECODE,AD_DECODE,imaging_demographics,diagonal_oof,ok,,,,,,,,,
ADNI,ADNI,imaging_biomarkers,diagonal_oof,ok,,,,,,,,,
ADNI,ADRC,imaging_biomarkers,external,ok,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_adni_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_biomarkers/graph_data_list_adrc_all.pt,3.0,3.0,13.0,13.0,1.0,1.0
ADNI,HABS,imaging_biomarkers,external,ok,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_adni_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_biomarkers/graph_data_list_habs_all.pt,3.0,3.0,13.0,13.0,1.0,1.0
ADNI,AD_DECODE,imaging_biomarkers,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_adni_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_biomarkers/graph_data_list_ad_decode_all.pt,3.0,3.0,13.0,16.0,1.0,1.0
ADRC,ADNI,imaging_biomarkers,external,ok,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_adrc_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_biomarkers/graph_data_list_adni_all.pt,3.0,3.0,13.0,13.0,1.0,1.0
ADRC,ADRC,imaging_biomarkers,diagonal_oof,ok,,,,,,,,,
ADRC,HABS,imaging_biomarkers,external,ok,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_adrc_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_biomarkers/graph_data_list_habs_all.pt,3.0,3.0,13.0,13.0,1.0,1.0
ADRC,AD_DECODE,imaging_biomarkers,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_adrc_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_biomarkers/graph_data_list_ad_decode_all.pt,3.0,3.0,13.0,16.0,1.0,1.0
HABS,ADNI,imaging_biomarkers,external,ok,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_habs_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_biomarkers/graph_data_list_adni_all.pt,3.0,3.0,13.0,13.0,1.0,1.0
HABS,ADRC,imaging_biomarkers,external,ok,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_habs_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_biomarkers/graph_data_list_adrc_all.pt,3.0,3.0,13.0,13.0,1.0,1.0
HABS,HABS,imaging_biomarkers,diagonal_oof,ok,,,,,,,,,
HABS,AD_DECODE,imaging_biomarkers,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_habs_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/imaging_biomarkers/graph_data_list_ad_decode_all.pt,3.0,3.0,13.0,16.0,1.0,1.0
AD_DECODE,ADNI,imaging_biomarkers,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_addecode_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/imaging_biomarkers/graph_data_list_adni_all.pt,3.0,3.0,16.0,13.0,1.0,1.0
AD_DECODE,ADRC,imaging_biomarkers,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_addecode_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/imaging_biomarkers/graph_data_list_adrc_all.pt,3.0,3.0,16.0,13.0,1.0,1.0
AD_DECODE,HABS,imaging_biomarkers,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_imaging_biomarkers/brainage_addecode_imaging_biomarkers_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/imaging_biomarkers/graph_data_list_habs_all.pt,3.0,3.0,16.0,13.0,1.0,1.0
AD_DECODE,AD_DECODE,imaging_biomarkers,diagonal_oof,ok,,,,,,,,,
ADNI,ADNI,full,diagonal_oof,ok,,,,,,,,,
ADNI,ADRC,full,external,ok,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adni_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/full/graph_data_list_adrc_all.pt,3.0,3.0,17.0,17.0,1.0,1.0
ADNI,HABS,full,external,ok,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adni_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/full/graph_data_list_habs_all.pt,3.0,3.0,17.0,17.0,1.0,1.0
ADNI,AD_DECODE,full,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adni_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/full/graph_data_list_ad_decode_all.pt,3.0,3.0,17.0,20.0,1.0,1.0
ADRC,ADNI,full,external,ok,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adrc_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/full/graph_data_list_adni_all.pt,3.0,3.0,17.0,17.0,1.0,1.0
ADRC,ADRC,full,diagonal_oof,ok,,,,,,,,,
ADRC,HABS,full,external,ok,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adrc_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/full/graph_data_list_habs_all.pt,3.0,3.0,17.0,17.0,1.0,1.0
ADRC,AD_DECODE,full,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_adrc_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/full/graph_data_list_ad_decode_all.pt,3.0,3.0,17.0,20.0,1.0,1.0
HABS,ADNI,full,external,ok,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_habs_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/full/graph_data_list_adni_all.pt,3.0,3.0,17.0,17.0,1.0,1.0
HABS,ADRC,full,external,ok,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_habs_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/full/graph_data_list_adrc_all.pt,3.0,3.0,17.0,17.0,1.0,1.0
HABS,HABS,full,diagonal_oof,ok,,,,,,,,,
HABS,AD_DECODE,full,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_habs_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/full/graph_data_list_ad_decode_all.pt,3.0,3.0,17.0,20.0,1.0,1.0
AD_DECODE,ADNI,full,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_addecode_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/full/graph_data_list_adni_all.pt,3.0,3.0,20.0,17.0,1.0,1.0
AD_DECODE,ADRC,full,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_addecode_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/full/graph_data_list_adrc_all.pt,3.0,3.0,20.0,17.0,1.0,1.0
AD_DECODE,HABS,full,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full/brainage_addecode_full_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/full/graph_data_list_habs_all.pt,3.0,3.0,20.0,17.0,1.0,1.0
AD_DECODE,AD_DECODE,full,diagonal_oof,ok,,,,,,,,,
ADNI,ADNI,full_no_cardiovascular,diagonal_oof,ok,,,,,,,,,
ADNI,ADRC,full_no_cardiovascular,external,ok,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full_no_cardiovascular/brainage_adni_full_no_cardiovascular_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/full_no_cardiovascular/graph_data_list_adrc_all.pt,3.0,3.0,14.0,14.0,1.0,1.0
ADNI,HABS,full_no_cardiovascular,external,ok,,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full_no_cardiovascular/brainage_adni_full_no_cardiovascular_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/full_no_cardiovascular/graph_data_list_habs_all.pt,3.0,3.0,14.0,14.0,1.0,1.0
ADNI,AD_DECODE,full_no_cardiovascular,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADNI_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full_no_cardiovascular/brainage_adni_full_no_cardiovascular_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/full_no_cardiovascular/graph_data_list_ad_decode_all.pt,3.0,3.0,14.0,17.0,1.0,1.0
ADRC,ADNI,full_no_cardiovascular,external,ok,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full_no_cardiovascular/brainage_adrc_full_no_cardiovascular_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/full_no_cardiovascular/graph_data_list_adni_all.pt,3.0,3.0,14.0,14.0,1.0,1.0
ADRC,ADRC,full_no_cardiovascular,diagonal_oof,ok,,,,,,,,,
ADRC,HABS,full_no_cardiovascular,external,ok,,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full_no_cardiovascular/brainage_adrc_full_no_cardiovascular_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/full_no_cardiovascular/graph_data_list_habs_all.pt,3.0,3.0,14.0,14.0,1.0,1.0
ADRC,AD_DECODE,full_no_cardiovascular,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADRC_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full_no_cardiovascular/brainage_adrc_full_no_cardiovascular_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/full_no_cardiovascular/graph_data_list_ad_decode_all.pt,3.0,3.0,14.0,17.0,1.0,1.0
HABS,ADNI,full_no_cardiovascular,external,ok,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full_no_cardiovascular/brainage_habs_full_no_cardiovascular_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/full_no_cardiovascular/graph_data_list_adni_all.pt,3.0,3.0,14.0,14.0,1.0,1.0
HABS,ADRC,full_no_cardiovascular,external,ok,,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full_no_cardiovascular/brainage_habs_full_no_cardiovascular_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/full_no_cardiovascular/graph_data_list_adrc_all.pt,3.0,3.0,14.0,14.0,1.0,1.0
HABS,HABS,full_no_cardiovascular,diagonal_oof,ok,,,,,,,,,
HABS,AD_DECODE,full_no_cardiovascular,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionHABS_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full_no_cardiovascular/brainage_habs_full_no_cardiovascular_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/AD_DECODE/graphs/full_no_cardiovascular/graph_data_list_ad_decode_all.pt,3.0,3.0,14.0,17.0,1.0,1.0
AD_DECODE,ADNI,full_no_cardiovascular,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full_no_cardiovascular/brainage_addecode_full_no_cardiovascular_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADNI/graphs/full_no_cardiovascular/graph_data_list_adni_all.pt,3.0,3.0,17.0,14.0,1.0,1.0
AD_DECODE,ADRC,full_no_cardiovascular,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full_no_cardiovascular/brainage_addecode_full_no_cardiovascular_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/ADRC/graphs/full_no_cardiovascular/graph_data_list_adrc_all.pt,3.0,3.0,17.0,14.0,1.0,1.0
AD_DECODE,HABS,full_no_cardiovascular,external,incompatible_dimensions,Input dimensions do not match,$WORK/ines/results/BrainAgePredictionADDECODE_stratified_groupcv_targetnorm_bagbiascorr_oofglobal/ablation_full_no_cardiovascular/brainage_addecode_full_no_cardiovascular_prediction_BIAS_CORRECTED_model.pt,$WORK/ines/results/harmonized/HABS/graphs/full_no_cardiovascular/graph_data_list_habs_all.pt,3.0,3.0,17.0,14.0,1.0,1.0
AD_DECODE,AD_DECODE,full_no_cardiovascular,diagonal_oof,ok,,,,,,,,,
